# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-04-11 14:46:06 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12436000 FRANKLIN ROOSEVELT LAKE AT GRAND COULEE DAM, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12436000
#            TS   parameter     statistic     Description
#        149680       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	149680_62614_32400	149680_62614_32400_cd
5s	15s	20d	14n	10s
USGS	12436000	1980-04-10	1224.89	A
USGS	12436000	1980-04-11	1224.90	A
USGS	12436000	1980-04-12	1225.02	A
USGS	12436000	1980-04-13	1225.45	A
USGS	12436000	1980-04-14	1224.72	A
USGS	12436000	1980-04-15	1224.62	A
USGS	12436000	1980-04-16	1224.95	A
USGS	12436000	1980-04-17	1225.10	A
USGS	12436000	1980-04-18	1226.04	A
USGS	12436000	1980-04-19	1227.38	A
USGS	12436000	1980-04-20	1228.85	A
USGS	12436000	1980-04-21	1230.88	A
USGS	12436000	1980-04-22	1232.95	A
USGS	12436000	1980-04-23	1235.50	A
USGS	12436000	1980-04-24	1237.86	A
USGS	12436000	1980-04-25	1240.11	A
USGS	12436000	1980-04-26	1242.92	A
USGS	12436000	1980-04-27	1245.86	A
USGS	12436000	1980-04-28	1247.99	A
USGS	12436000	1980-04-29	1250.20	A
USGS	12436000	1980-04-30	1252.69	A
USGS	12436000	1980-05-01	1254.66	A
USGS	12436000	1980-05-02	1256.81	A
USGS	12436000	1980-05-03	1258.91	A
USGS	12436000	1980-05-04	1261.36	A
USGS	12436000	1980-05-05	1262.61	A
USGS	12436000	1980-05-06	1263.71	A
USGS	12436000	1980-05-07	1264.91	A
USGS	12436000	1980-05-08	1266.21	A
USGS	12436000	1980-05-09	1267.61	A
USGS	12436000	1980-05-10	1269.82	A
USGS	12436000	1980-05-11	1272.38	A
USGS	12436000	1980-05-12	1273.65	A
USGS	12436000	1980-05-13	1274.25	A
USGS	12436000	1980-05-14	1274.73	A
USGS	12436000	1980-05-15	1275.45	A
USGS	12436000	1980-05-16	1276.28	A
USGS	12436000	1980-05-17	1277.28	A
USGS	12436000	1980-05-18	1278.90	A
USGS	12436000	1980-05-19	1279.66	A
USGS	12436000	1980-05-20	1280.14	A
USGS	12436000	1980-05-21	1280.28	A
USGS	12436000	1980-05-22	1280.32	A
USGS	12436000	1980-05-23	1280.50	A
USGS	12436000	1980-05-24	1281.34	A
USGS	12436000	1980-05-25	1282.49	A
USGS	12436000	1980-05-26	1283.49	A
USGS	12436000	1980-05-27	1284.42	A
USGS	12436000	1980-05-28	1285.88	A
USGS	12436000	1980-05-29	1287.34	A
USGS	12436000	1980-05-30	1287.82	A
USGS	12436000	1980-05-31	1288.42	A
USGS	12436000	1980-06-01	1288.65	A
USGS	12436000	1980-06-02	1288.70	A
USGS	12436000	1980-06-03	1289.36	A
USGS	12436000	1980-06-04	1290.06	A
USGS	12436000	1980-06-05	1289.81	A
USGS	12436000	1980-06-06	1289.96	A
USGS	12436000	1980-06-07	1289.82	A
USGS	12436000	1980-06-08	1289.82	A
USGS	12436000	1980-06-09	1289.77	A
USGS	12436000	1980-06-10	1289.75	A
USGS	12436000	1980-06-11	1289.71	A
USGS	12436000	1980-06-12	1289.55	A
USGS	12436000	1980-06-13	1289.54	A
USGS	12436000	1980-06-14	1289.80	A
USGS	12436000	1980-06-15	1290.08	A
USGS	12436000	1980-06-16	1289.95	A
USGS	12436000	1980-06-17	1290.03	A
USGS	12436000	1980-06-18	1290.08	A
USGS	12436000	1980-06-19	1290.01	A
USGS	12436000	1980-06-20	1289.91	A
USGS	12436000	1980-06-21	1289.93	A
USGS	12436000	1980-06-22	1289.92	A
USGS	12436000	1980-06-23	1290.00	A
USGS	12436000	1980-06-24	1289.97	A
USGS	12436000	1980-06-25	1289.89	A
USGS	12436000	1980-06-26	1289.95	A
USGS	12436000	1980-06-27	1289.90	A
USGS	12436000	1980-06-28	1289.53	A
USGS	12436000	1980-06-29	1289.22	A
USGS	12436000	1980-06-30	1289.28	A
USGS	12436000	1980-07-01	1289.79	A
USGS	12436000	1980-07-02	1289.88	A
USGS	12436000	1980-07-03	1289.77	A
USGS	12436000	1980-07-04	1289.69	A
USGS	12436000	1980-07-05	1289.81	A
USGS	12436000	1980-07-06	1289.92	A
USGS	12436000	1980-07-07	1289.72	A
USGS	12436000	1980-07-08	1289.53	A
USGS	12436000	1980-07-09	1289.34	A
USGS	12436000	1980-07-10	1289.43	A
USGS	12436000	1980-07-11	1289.48	A
USGS	12436000	1980-07-12	1289.64	A
USGS	12436000	1980-07-13	1289.88	A
USGS	12436000	1980-07-14	1289.91	A
USGS	12436000	1980-07-15	1289.74	A
USGS	12436000	1980-07-16	1289.68	A
USGS	12436000	1980-07-17	1289.71	A
USGS	12436000	1980-07-18	1289.95	A
USGS	12436000	1980-07-19	1289.75	A
USGS	12436000	1980-07-20	1289.74	A
USGS	12436000	1980-07-21	1289.62	A
USGS	12436000	1980-07-22	1289.26	A
USGS	12436000	1980-07-23	1289.06	A
USGS	12436000	1980-07-24	1288.76	A
USGS	12436000	1980-07-25	1288.54	A
USGS	12436000	1980-07-26	1288.75	A
USGS	12436000	1980-07-27	1289.06	A
USGS	12436000	1980-07-28	1288.69	A
USGS	12436000	1980-07-29	1288.61	A
USGS	12436000	1980-07-30	1288.39	A
USGS	12436000	1980-07-31	1288.17	A
USGS	12436000	1980-08-01	1287.81	A
USGS	12436000	1980-08-02	1287.34	A
USGS	12436000	1980-08-03	1287.51	A
USGS	12436000	1980-08-04	1287.55	A
USGS	12436000	1980-08-05	1287.75	A
USGS	12436000	1980-08-06	1287.98	A
USGS	12436000	1980-08-07	1288.10	A
USGS	12436000	1980-08-08	1287.98	A
USGS	12436000	1980-08-09	1287.87	A
USGS	12436000	1980-08-10	1288.63	A
USGS	12436000	1980-08-11	1288.50	A
USGS	12436000	1980-08-12	1288.12	A
USGS	12436000	1980-08-13	1287.78	A
USGS	12436000	1980-08-14	1287.41	A
USGS	12436000	1980-08-15	1287.10	A
USGS	12436000	1980-08-16	1286.81	A
USGS	12436000	1980-08-17	1287.20	A
USGS	12436000	1980-08-18	1287.56	A
USGS	12436000	1980-08-19	1287.80	A
USGS	12436000	1980-08-20	1288.08	A
USGS	12436000	1980-08-21	1288.30	A
USGS	12436000	1980-08-22	1288.72	A
USGS	12436000	1980-08-23	1289.22	A
USGS	12436000	1980-08-24	1289.90	A
USGS	12436000	1980-08-25	1289.48	A
USGS	12436000	1980-08-26	1289.11	A
USGS	12436000	1980-08-27	1288.66	A
USGS	12436000	1980-08-28	1288.49	A
USGS	12436000	1980-08-29	1288.11	A
USGS	12436000	1980-08-30	1287.97	A
USGS	12436000	1980-08-31	1288.27	A
USGS	12436000	1980-09-01	1287.94	A
USGS	12436000	1980-09-02	1287.32	A
USGS	12436000	1980-09-03	1286.67	A
USGS	12436000	1980-09-04	1286.13	A
USGS	12436000	1980-09-05	1285.54	A
USGS	12436000	1980-09-06	1285.31	A
USGS	12436000	1980-09-07	1285.50	A
USGS	12436000	1980-09-08	1285.58	A
USGS	12436000	1980-09-09	1285.95	A
USGS	12436000	1980-09-10	1286.34	A
USGS	12436000	1980-09-11	1286.95	A
USGS	12436000	1980-09-12	1287.67	A
USGS	12436000	1980-09-13	1288.67	A
USGS	12436000	1980-09-14	1289.56	A
